IP地址,数据中心,地区,城市,网络延迟
190.93.244.81,SJC,North America,San Jose,133 ms
198.41.215.177,SJC,North America,San Jose,134 ms
198.41.208.239,SJC,North America,San Jose,135 ms
172.64.93.35,SJC,North America,San Jose,135 ms
104.16.49.19,SJC,North America,San Jose,135 ms
198.41.221.61,SJC,North America,San Jose,136 ms
198.41.202.76,SJC,North America,San Jose,136 ms
162.159.25.192,SJC,North America,San Jose,136 ms
172.64.152.48,SJC,North America,San Jose,136 ms
162.159.237.234,SJC,North America,San Jose,137 ms
172.64.39.97,SJC,North America,San Jose,138 ms
198.41.214.158,SJC,North America,San Jose,138 ms
198.41.205.136,SJC,North America,San Jose,138 ms
104.16.38.28,SJC,North America,San Jose,139 ms
104.16.28.169,SJC,North America,San Jose,140 ms
104.16.70.40,SJC,North America,San Jose,140 ms
104.16.33.207,SJC,North America,San Jose,140 ms
185.146.173.188,SJC,North America,San Jose,140 ms
162.159.49.198,SJC,North America,San Jose,141 ms
104.16.90.93,SJC,North America,San Jose,141 ms
198.41.194.201,SJC,North America,San Jose,141 ms
162.159.14.215,SJC,North America,San Jose,141 ms
104.16.32.60,SJC,North America,San Jose,142 ms
104.16.39.53,SJC,North America,San Jose,142 ms
162.159.21.94,SJC,North America,San Jose,144 ms
104.16.88.32,SJC,North America,San Jose,144 ms
104.16.54.99,SJC,North America,San Jose,144 ms
190.93.245.24,SJC,North America,San Jose,147 ms
162.159.206.40,SJC,North America,San Jose,147 ms
104.16.68.113,SJC,North America,San Jose,148 ms
173.245.59.142,SJC,North America,San Jose,148 ms
162.159.41.136,SJC,North America,San Jose,150 ms
162.159.5.24,SJC,North America,San Jose,151 ms
198.41.204.14,SJC,North America,San Jose,151 ms
162.159.36.204,SJC,North America,San Jose,152 ms
198.41.200.140,SJC,North America,San Jose,152 ms
172.64.94.207,SJC,North America,San Jose,152 ms
104.16.44.0,SJC,North America,San Jose,152 ms
104.16.18.159,SJC,North America,San Jose,153 ms
104.16.99.102,SJC,North America,San Jose,153 ms
23.227.38.125,SJC,North America,San Jose,153 ms
162.159.13.122,SJC,North America,San Jose,153 ms
108.162.196.35,SJC,North America,San Jose,153 ms
141.101.122.22,SJC,North America,San Jose,153 ms
172.64.144.36,SJC,North America,San Jose,153 ms
162.159.11.141,SJC,North America,San Jose,153 ms
172.64.91.85,SJC,North America,San Jose,153 ms
162.159.19.195,SJC,North America,San Jose,154 ms
104.16.53.228,SJC,North America,San Jose,154 ms
162.159.61.83,SJC,North America,San Jose,154 ms
172.64.83.235,SJC,North America,San Jose,154 ms
104.16.43.27,SJC,North America,San Jose,154 ms
104.16.40.231,SJC,North America,San Jose,154 ms
172.64.34.241,SJC,North America,San Jose,154 ms
104.16.36.200,SJC,North America,San Jose,154 ms
104.16.103.114,SJC,North America,San Jose,154 ms
172.64.157.91,SJC,North America,San Jose,155 ms
141.101.120.74,SJC,North America,San Jose,155 ms
172.64.35.219,SJC,North America,San Jose,155 ms
104.16.17.39,SJC,North America,San Jose,155 ms
104.31.16.208,SJC,North America,San Jose,156 ms
172.64.92.53,SJC,North America,San Jose,156 ms
172.64.231.192,SJC,North America,San Jose,156 ms
104.16.48.145,SJC,North America,San Jose,156 ms
104.16.34.212,SJC,North America,San Jose,156 ms
104.16.56.248,SJC,North America,San Jose,156 ms
104.16.21.33,SJC,North America,San Jose,156 ms
172.64.230.81,SJC,North America,San Jose,156 ms
104.16.10.233,SJC,North America,San Jose,157 ms
162.159.207.58,SJC,North America,San Jose,157 ms
162.159.6.147,SJC,North America,San Jose,157 ms
104.16.30.53,SJC,North America,San Jose,158 ms
172.64.176.110,SJC,North America,San Jose,158 ms
198.41.193.141,SJC,North America,San Jose,158 ms
104.16.20.251,SJC,North America,San Jose,159 ms
162.159.4.53,SJC,North America,San Jose,159 ms
198.41.197.72,SJC,North America,San Jose,159 ms
172.64.154.55,SJC,North America,San Jose,160 ms
198.41.222.136,SJC,North America,San Jose,160 ms
172.64.150.125,SJC,North America,San Jose,160 ms
108.162.198.215,SJC,North America,San Jose,160 ms
104.16.58.207,SJC,North America,San Jose,160 ms
104.16.65.94,SJC,North America,San Jose,161 ms
108.162.192.74,SJC,North America,San Jose,161 ms
104.16.52.252,SJC,North America,San Jose,161 ms
104.16.5.226,SJC,North America,San Jose,161 ms
162.159.7.32,SJC,North America,San Jose,161 ms
104.16.63.93,SJC,North America,San Jose,161 ms
104.16.85.50,SJC,North America,San Jose,163 ms
198.41.218.119,SJC,North America,San Jose,163 ms
104.16.22.34,SJC,North America,San Jose,163 ms
104.16.27.86,SJC,North America,San Jose,164 ms
198.41.219.253,SJC,North America,San Jose,165 ms
