IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
162.159.240.102,139,158,149,0
162.159.6.147,137,160,150,0
162.159.44.148,144,159,150,0
172.64.40.137,142,161,152,0
162.159.45.186,143,178,153,0
162.159.248.255,143,160,153,0
162.159.241.209,146,166,153,0
162.159.253.91,145,164,153,0
162.159.251.215,144,178,154,0
162.159.244.195,147,166,154,0
104.18.10.194,136,219,155,0
173.245.59.142,134,199,155,0
162.159.246.199,145,169,156,0
162.159.14.215,136,204,157,0
104.16.18.159,141,185,157,0
162.159.249.155,148,173,159,0
198.41.196.246,136,207,159,0
162.159.250.152,152,167,159,0
104.16.7.119,137,210,159,0
108.162.193.192,138,205,162,0
162.159.10.66,135,258,162,0
104.16.8.45,144,226,162,0
162.159.242.26,151,174,163,0
104.16.6.140,133,217,165,0
141.101.120.74,152,182,165,0
141.101.122.22,153,184,165,0
104.16.31.193,137,230,166,0
104.16.5.226,135,259,166,0
162.159.26.52,136,213,166,0
141.101.123.171,154,189,166,0
172.64.144.36,137,218,167,0
141.101.121.254,155,181,167,0
172.64.79.110,133,277,168,0
172.64.87.97,134,226,168,0
104.16.27.86,135,212,169,0
198.41.223.191,135,245,169,0
162.159.19.195,137,260,169,0
104.16.14.175,151,233,170,0
198.41.217.199,155,220,172,0
1.1.1.69,152,250,172,0
104.16.37.219,156,213,173,0
198.41.200.140,142,242,173,0
162.159.15.174,151,234,173,0
104.16.9.1,135,268,174,0
172.64.148.145,156,226,175,0
104.23.106.191,151,199,175,0
172.64.83.235,155,225,176,0
172.64.89.161,151,232,177,0
104.23.103.103,155,202,178,0
104.27.43.46,154,204,179,0
104.27.17.28,155,213,179,0
104.31.16.208,136,286,179,0
104.27.0.39,166,201,179,0
162.159.49.198,138,290,181,0
108.162.198.215,153,240,181,0
141.101.113.193,161,206,182,0
104.16.58.207,138,252,182,0
104.27.8.56,163,200,183,0
185.146.173.188,138,285,183,0
172.64.48.88,157,237,184,0
104.16.99.102,146,260,184,0
104.16.56.248,135,263,184,0
104.16.63.93,138,253,184,0
104.23.132.107,162,212,184,0
104.23.99.183,163,211,185,0
198.41.221.61,137,269,186,0
104.16.22.34,142,291,186,0
162.159.7.32,144,230,187,0
162.159.129.220,163,218,187,0
108.162.196.35,141,269,187,0
